,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,company,chi,p,sub_ids,cik_x,form,period,fy,filed,nine_digit_cik,ticker,cik_y,ticker_1,bucket
0,0,0,100,100,100,212,1 800 FLOWERS COM INC,10.986805353100868,0.2024479472139226,0001437749-20-019622,1084869,10-K,20200630.0,2020.0,20200911,1084869,FLWS US Equity,1084869.0,FLWS,0
1,1,1,4210,4210,4210,3886,10X CAPITAL VENTURE ACQUISITION CORP,22.071101121101126,0.0047858414846420295,0001213900-21-018726,1821595,10-K,20201231.0,2020.0,20210330,1821595,,,,0
2,2,2,2087,2087,2087,1582,"10X GENOMICS, INC.",10.896135909954367,0.20765402329385416,0001770787-21-000009,1770787,10-K,20201231.0,2020.0,20210226,1770787,TXG US Equity,1770787.0,TXG,0
3,3,3,5686,5686,5686,603,"111, INC.",12.927324805413573,0.11437471855452262,0001104659-21-058014,1738906,20-F,20201231.0,2020.0,20210430,1738906,,,,0
4,4,4,6296,6296,6296,995,12 RETECH CORP,86.24075593266863,2.688457071687766e-15,0001493152-21-015518,1627611,10-K,20201231.0,2020.0,20210629,1627611,,,,0
5,5,5,5304,5304,5304,128,17 EDUCATION & TECHNOLOGY GROUP INC.,3.4881921812298686,0.9001041198722914,0001564590-21-018346,1821468,20-F,20201231.0,2020.0,20210409,1821468,YQ US Equity,1821468.0,YQ,0
6,6,6,4620,4620,4620,4055,1847 GOEDEKER INC.,26.238058535891355,0.0009561636584906043,0001213900-21-018284,1810140,10-K,20201231.0,2020.0,20210329,1810140,GOED US Equity,1810140.0,GOED,0
7,7,7,5360,5360,5360,257,1847 HOLDINGS LLC,5.423366422783881,0.7115147565659653,0001213900-21-021766,1599407,10-K,20201231.0,2020.0,20210415,1599407,,,,0
8,8,8,1811,1811,1811,4360,"1895 BANCORP OF WISCONSIN, INC.",9.780894581949378,0.28074232341341343,0001193125-21-101902,1751692,10-K,20201231.0,2020.0,20210331,1751692,,,,0
9,9,9,1695,1695,1695,3115,1LIFE HEALTHCARE INC,9.307652199842886,0.3170112345665052,0001564590-21-013897,1404123,10-K,20201231.0,2020.0,20210317,1404123,ONEM US Equity,1404123.0,ONEM,0
10,10,10,5129,5129,5129,2834,1ST CONSTITUTION BANCORP,38.52366426450969,6.023420215218268e-06,0001141807-21-000005,1141807,10-K,20201231.0,2020.0,20210315,1141807,FCCY US Equity,1141807.0,FCCY,0
11,11,11,2991,2991,2991,3863,1ST FRANKLIN FINANCIAL CORP,14.767352454899685,0.06383016880036621,0001376474-21-000102,38723,10-K,20201231.0,2020.0,20210330,38723,,,,0
12,12,12,3406,3406,3406,401,1ST SOURCE CORP,16.791034293898257,0.0323600883363574,0000034782-21-000036,34782,10-K,20201231.0,2020.0,20210218,34782,SRCE US Equity,34782.0,SRCE,0
13,13,13,5891,5891,5891,226,"20_20 GLOBAL, INC.",17.063492063492063,0.029454690729644267,0001096906-21-000766,1763329,10-K,20201231.0,2020.0,20210415,1763329,,,,0
